Title,留言內容
109 2排名出來沒,聽說最快是星期三
109 2排名出來沒,撲通撲通 好緊張
109 2排名出來沒,都第三週該出來了吧…
109 2排名出來沒,再不出來又要害我們錯過獎學金了...可惡
109 2排名出來沒,推甄仔等待中qq
109 2排名出來沒,B4欸欸你也畢業了嗎 我在想2021/06畢業的可以回去申請行天宮嗎？
109 2排名出來沒,有在校生要看自己的iNCCU 一下 然後拯救我們這些老人嗎：）
109 2排名出來沒,B7 還沒🥰
109 2排名出來沒,B8 幹你是好人 謝謝你
109 2排名出來沒,"B1 認真？
B12 感謝回答，我再等等好了"
109 2排名出來沒,跟大家說個秘密 真正的繳交成績時間截止是開學後兩週 我認真的 所以一樓說的是真的我猜
109 2排名出來沒,B10 B11我記得排名文好幾篇了，星期三那個是別人底下留言打電話去問的結果，不然你們也可以自己打去問問看
109 2排名出來沒,我有去問！他說9月底會出來排名 但獎學金會10月多才出來😊
109 2排名出來沒,好奇畢業生在大四下拿卷還會有4000塊嗎？
109 2排名出來沒,B14欸同問
現在還有哪些宿營還沒停啊,聽說經濟系有繼續欸
現在還有哪些宿營還沒停啊,真的假的！他們是不是沒有要停的意思ㄚ
現在還有哪些宿營還沒停啊,一定是算好辦宿營的機會成本才敢這樣搞吧
大學英文一上課方式,一堆大學英文老師什麼消息都不放 真的可悲
大學英文一上課方式,對阿，都不早點發
大學英文一上課方式,我有寫信去問，但老師還沒回……
大學英文一上課方式,剛寄信🥲🥲同問
大學英文一上課方式,我禮拜天有問 老師說是實體上課哦
請問楊芳賢 民法債編總論（二）上課方式,"可以借問個王千維老師的債總二上課方式嗎
加選上這堂沒有收到訊息有點慌張🥺"
請問楊芳賢 民法債編總論（二）上課方式,B1老師是用預錄給影片連結的方式上課，沒有改實體～
請問楊芳賢 民法債編總論（二）上課方式,B2 謝謝你！
請問楊芳賢 民法債編總論（二）上課方式,"同問～
不過感覺應該是遠距然後用上次上課ㄉ連結"
企業評價上課連結,今天老師突然有事所以改成4：30上課歐（同樣連結
企業評價上課連結,"b1 感謝!
請問老師有寄信嗎?還是班代有建群但我沒有被加入?"
企業評價上課連結,B2 班代有建群～
企業評價上課連結,b4 我不是財管的，完全不知道如何加入line群...
企業評價上課連結,B4 第一堂課課代有創群貼連結在聊天室
廖文霖大腦與我上課方式,今天不是討論課嗎？開學前一兩週好像還沒有討論課
廖文霖大腦與我上課方式,B1討論課應該是禮拜二
廖文霖大腦與我上課方式,B1 一78不是正課嗎(；д；)
姚維仁 初會 連結,卡
姚維仁 初會 連結,會計系網看看公告~
姚維仁 初會 連結,他有說可以加簽嗎？
