,date,song_name,url,lyric
0,2021-03,Hold On,https://mojim.com//twy107945x51x1.htm,"You know you can call me if you need someoneI'll pick up the pieces if you come undonePainting stars up on your ceiling'Cause you wish that you could find some feeling, yeah, youYou know you can call me if you need someoneI need you to hold onHeaven is a place not too far awayWe all know I should be the one to say we all make mistakesTake my hand and hold onTell me everything that you need to say'Cause I know how it feels to be someoneFeels to be someone who loses their wayYou're looking for answers in a place unknownYou need the connection but you can't get closePainting stars up on your ceiling'Cause you wish that you could find some feeling, yeah, youYou know you can call me if you need someoneI need you to hold onHeaven is a place not too far awayWe all know I should be the one to say we all make mistakes Take my hand and hold onTell me everything that you need to say'Cause I know how it feels to be someoneFeels to be someone who loses their wayMidnight till morning, call if you need somebodyI will be there for youMidnight till morning, call if you need somebodyI will be there for youI need you to hold onHeaven is a place not too far awayWe all know I should be the one to say we all make mistakesTake my hand and hold onTell me everything that you need to say'Cause I know how it feels to be someoneFeels to be someone who loses their wayMidnight till morning, call if you need somebodyI will be there for youMidnight till morning, call if you need somebodyI will be there for you
"
1,2021-03,2 Much,https://mojim.com//twy107945x52x1.htm,"Injustice anywhere is a threat to justice everywhereMaybe I stare too muchMaybe not long enoughFunny how I forget to blinkBut when you let down your hairDancin' like no one's thereI know I'm where I'm s'posed to beI say I love you under my breathMore times than you can digestIt's music every time I hear your nameYour head's layin' right on my chestSun's up and I still ain't got no restDon't wanna close my eyesI'm scared I'll miss too muchDon't wanna fall asleepI'd rather fall in loveWhen I can't feel you I feel out of touchTwo seconds without you's like two monthsDon't wanna close my eyesI'm scared I'll miss too muchDon't wanna fall asleepI'd rather fall in love'Cause eternity with you ain't long enoughTwo seconds without you's like two monthsAnd that's too much I love the way you love your momAnd take on all your friends problemsAnd still somehow stop the world for usI still relive the secondI met my biggest blessingPrayed for you look what God has doneSay I love you under my breathMore times than you could digestMusic every time I hear your nameYour head's laying right on my chestSun's up and I still ain't got no restDon't wanna close my eyesI'm scared I'll miss too muchDon't wanna fall asleepI'd rather fall in loveWhen I can't feel you I feel out of touchTwo seconds without you's like two monthsDon't wanna close my eyesI'm scared I'll miss too muchDon't wanna fall asleepI'd rather fall in love'Cause eternity with you ain't long enoughTwo seconds without you's like two monthsAnd that's too much
"
2,2021-03,Deserve You,https://mojim.com//twy107945x52x2.htm,"When I'm in my thoughts sometimesIt's hard to believeI'm the person you think I amThe person that you tell me you loveI'm on my ten thousandth lifeNine thousand, nine hundred, ninety nine and it slipped my handsBut this the one I'm not giving upNight after night you fall asleep on meI'm praying that I don't go back to who I wasI feel likeI don't deserve you tonightIt's in the way that you hold meI don't deserve you tonightIt's in the things that you show meI need you, don't let me goNeed you, don't let me go, I feel likeI don't de-, I don't de-, I don't deserve you tonightI can tend to hold things backI need you more than I let you believe I do'Cause you could think it might be too much, oh yeahI don't want to beat my pastOh when we kiss I'm alive and I feel brand newThere's nothing that I want more than usNight after night you fall asleep on meI'm praying that I don't go back to who I wasI feel likeI don't deserve you tonightIt's in the way that you hold me I don't deserve you tonightIt's in the things that you show meI need you, don't let me goNeed you, don't let me goI feel likeI don't de-, I don't de-, I don't deserve you tonightSomewhere in the skyThe way your body fits on mineWhen you give in to meI'm so high but I'm fallingUh, and now my eyes are locked on youAs you dance around the roomAnd finally I'm right where I belongI feel likeI don't deserve you tonightIt's in the way that you hold meI don't deserve you tonightIt's in the things that you show meI need you, don't let me goNeed you, don't let me goI feel likeI don't de-, I don't de-, I don't deserve you tonight(I don't deserve you)No, I don't, no(I don't deserve you)Gotta need youI can't breathe without you
"
3,2021-03,As I Am,https://mojim.com//twy107945x52x3.htm,"feat. KhalidBy myself sometimesTo give my mind some spaceYeah I know, yeah I know that it hurtsWhen I push your love away, I hate myselfWhen I tell you liesSo your heart won't breakYeah I know, yeah I know that I made my fair share of mistakesSometimes, I don't know why you love meSometimes, I don't know why you careTake me, with the good and the uglySay, I'm not going anywhereTake me as I am, swear I'll do the best I can, sayI'm not going anywhereTake me as I am, swear I'll do the best I can, sayI'm not going anywhereThousand miles apart, yeah you're the one that holds my heartIt's no surpriseAnd I tell you all the timeAnd when life gets way too hardI'll meet you in the stars, you know I willI'll keep you near, mmm as I wipe away your tears, mmm (Yes) Sometimes, I don't know why you love meSometimes, I don't know why you careTake me, with the good and the uglySay, I'm not going anywhereTake me as I am, swear I'll do the best I can, sayI'm not going anywhere (Yeah)Take me as I am, swear I'll do the best I can, sayI'm not going anywhereYou were there for me when I was acting selfishAnd you prayed for me when I was out of faithYou believed in me when ain't nobody else didIt's a miracle you didn't run awayYou were there for me when I was acting selfishAnd you prayed for me when I was out of faithYou believed in me when ain't nobody else didIt's a miracle you didn't run awaySometimes, I don't know why you love meSometimes, I don't know why you careTake me, with the good and the uglySay, I'm not going anywhere
"
4,2021-03,Off My Face,https://mojim.com//twy107945x52x4.htm,"One touch and you got me stonedHigher than I've ever knownYou call the shots and I'll followSunrise but the night's still youngNo words but we're speaking tonguesIf you let me I might say too muchYour touch blurred my visionIt's your world and I'm just in itEven sober I'm not thinking straight'Cause I'm off my face in love with youI'm out my head so into youAnd I don't know how you do itBut I'm forever ruined by youO-o-ohCan't sleep 'cause I'm way too buzzedToo late now you're in my bloodI don't hate the way you keep me up Your touch blurred my visionIt's your world and I'm just in itEven sober I'm not thinking straight'Cause I'm off my face in love with youI'm out my head so into youAnd I don't know how you do itBut I'm forever ruined by youO-o-oh'Cause I'm off my face in love with youI'm out my head so into youAnd I don't know how you do itBut I'm forever ruined by youO-o-ohBy youO-o-oh
"
5,2021-03,Holy,https://mojim.com//twy107945x52x5.htm,"feat. Chance The RapperI hear a lot about sinnersDon't think that I'll be a saintBut I might go down to the river'Cause the way that the sky opens up when we touchYeah, it's makin' me sayThat the way you hold me, hold me, hold me, hold me, hold meFeels so holy, holy, holy, holy, holyOn GodRunnin' to the altar like a track starCan't wait another second'Cause the way you hold me, hold me, hold me, hold me, hold meFeels so holyI don't do well with the dramaAnd, no, I can't stand it being fake(No, no, no, no, no, no, no, no)I don't believe in nirvanaBut the way that we love in the night gave me lifeBaby, I can't explainThat the way you hold me, hold me, hold me, hold me, hold meFeels so holy, holy, holy, holy, holyOn GodRunnin' to the altar like a track starCan't wait another second'Cause the way you hold me, hold me, hold me, hold me, hold meFeels so holyThey say we're too young andThe pimps and the players say, 'Don't go crushin''Wise men say fools rush inBut I don't know (Ah-ah-ah-ah)They say we're too young andThe pimps and the players say, 'Don't go crushin'' Wise men say fools rush inBut I don't know (Chance the Rapper)The first step pleases the FatherMight be the hardest to takeBut when you come out of the waterI'm a believer, my heart is fleshyLife is short with a temper like Joe PesciThey always come and sing your praises, your name is catchyBut they don't see you how I see you, Parlay and DesiCross, Tween, Tween, Hesi' hit the jet speedWhen they get messy, go lefty like Lionel MessiLet's take a trip and get the Vespas or rent a Jet SkiI know the spots that got the best weed, we goin' next weekI wanna honor, wanna honor you, bride's groom, I'm my father's childI know when the son takes the first steps, the Father's proud (Yes)If you make it to the water, He'll part the clouds (Uh)I know He made you a snack like Oscar Proud (Mwah)Suffer it to be so now gotta clean it up (Ooh)Formalize the union in communion, He can trust (Woo)I know I ain't leavin' you like I know He ain't leavin' us (Ah)I know we believe in God, and I know God believes in us'Cause the way you hold me, hold me, hold me, hold me, hold meFeels so holy, holy, holy, holy, holyOn GodRunnin' to the altar like a track starCan't wait another second, on GodRunnin' to the altar like a track starCan't wait another second, on GodRunnin' to the altar like a track starCan't wait another second'Cause the way you hold me, hold me, hold me, hold meFeels so ho-ho-ho-holy
"
6,2021-03,Unstable,https://mojim.com//twy107945x52x6.htm,"feat. The Kid LAROISometimes I think I overthinkAnd I start to feel anxietyThere were times I couldn't even breatheBut you never once abandoned meI tried to scare youScare you awayShowed you the doorYou adored me anywayWhen I was broken in piecesYou were my peace of mindYou were my peace of mindYeah you love, yeah you love, you loved meWhen I was unstableNever judge, never judge, never judged meWhen I was unableTo love myself, to trust myselfYeah you love, yeah you love, you loved meWhen I was unstableWhite knuckles tryna own my sanityNot every wound is the kind that bleedsNever know when my mind's gonna turn on meBut you're the one I call for security These memories have been toxicI tried to ween and get off itThrough everything you been my rockI think you're the only thing I didn't get wrongOh I know God was listeningEvery night when I would prayYou're an angel watching over meAll I needI tried to scare youScare you awayShowed you the doorYou adored me anywayWhen I was broken in piecesYou were my peace of mindYou were my peace of mindYeah you love, yeah you love, you loved meWhen I was unstableNever judge, never judge, never judged meWhen I was unableTo love myself, to trust myselfYeah you love, yeah you love, you loved meWhen I was unstable
"
7,2021-03,MLK Interlude,https://mojim.com//twy107945x52x7.htm,"I say to you this morningThat if you have never found something so dearAnd so precious to you that you will die for it, then you aren't fit to liveYou may be 38 years old as I happen to beAnd one day some great opportunity stands before youAnd calls upon you to stand up for some great principleSome great issue, some great causeAnd you refuse to do it because you are afraidYou refuse to do it because you want to live longerYou're afraid that you will lose your jobOr you're afraid that you will be criticizedOr that you will lose your popularity Or you're afraid that somebody will stab you or shootAt you or bomb your houseAnd so you refuse to take the standWell you may go on and live until you are 90But you're just as dead at 38 as you would be at 90And the sensation of breathing in your life isBut the belated announcement of an earlier death of the spiritYou died when you refused to stand up for rightYou died when you refused to stand up for truthYou died when you refused to stand up for justice
"
8,2021-03,Die For You,https://mojim.com//twy107945x52x8.htm,"feat. Dominic Fike
"
9,2021-03,Hold On,https://mojim.com//twy107945x52x9.htm,"You know you can call me if you need someoneI'll pick up the pieces if you come undonePainting stars up on your ceiling'Cause you wish that you could find some feeling, yeah, youYou know you can call me if you need someoneI need you to hold onHeaven is a place not too far awayWe all know I should be the one to say we all make mistakesTake my hand and hold onTell me everything that you need to say'Cause I know how it feels to be someoneFeels to be someone who loses their wayYou're looking for answers in a place unknownYou need the connection but you can't get closePainting stars up on your ceiling'Cause you wish that you could find some feeling, yeah, youYou know you can call me if you need someoneI need you to hold onHeaven is a place not too far awayWe all know I should be the one to say we all make mistakes Take my hand and hold onTell me everything that you need to say'Cause I know how it feels to be someoneFeels to be someone who loses their wayMidnight till morning, call if you need somebodyI will be there for youMidnight till morning, call if you need somebodyI will be there for youI need you to hold onHeaven is a place not too far awayWe all know I should be the one to say we all make mistakesTake my hand and hold onTell me everything that you need to say'Cause I know how it feels to be someoneFeels to be someone who loses their wayMidnight till morning, call if you need somebodyI will be there for youMidnight till morning, call if you need somebodyI will be there for you
"
